city	x	y
0	0	0
1	367	521
2	468	804
3	928	458
4	462	972
5	274	22
6	37	328
7	886	686
8	515	453
9	572	512
10	962	184
11	374	809
12	656	659
13	709	836
14	675	774
15	723	908
16	494	494
17	252	387
18	267	112
19	238	580
20	37	35
21	221	492
22	151	765
23	966	402
24	653	643
25	733	173
26	465	682
27	792	325
28	528	231
29	441	485
30	981	479
31	640	421
32	554	688
33	150	657
34	266	819
35	252	461
36	820	721
37	385	246
38	38	410
39	884	246
40	275	432
41	124	632
42	360	285
43	329	277
44	689	94
45	73	345
46	638	615
47	243	542
48	257	514
49	213	834
50	728	343
51	330	282
52	966	38
53	197	764
54	252	59
55	879	8
56	879	329
57	172	777
58	578	504
59	128	65
60	505	221
61	456	586
62	514	405
63	275	979
64	318	697
65	479	213
66	990	265
67	669	262
68	672	669
69	342	705
70	117	644
71	235	217
72	953	440
73	240	679
74	538	341
75	956	583
76	907	971
77	930	207
78	563	340
79	544	857
80	625	36
81	586	681
82	164	336
83	916	557
84	973	929
85	985	683
86	716	724
87	76	278
88	626	628
89	358	199
90	396	402
91	993	44
92	36	806
93	583	151
94	415	432
95	680	574
96	349	845
97	995	929
98	328	35
99	282	168
100	373	569
101	768	414
102	929	609
103	607	34
104	562	942
105	800	332
106	194	361
107	976	281
108	837	268
109	227	344
110	788	573
111	771	938
112	349	54
113	15	277
114	538	351
115	643	729
116	915	208
117	209	720
118	51	766
119	979	426
120	164	745
121	789	700
122	660	803
123	401	696
124	437	711
125	980	41
126	579	535
127	630	143
128	242	951
129	591	746
130	702	142
131	938	541
132	434	594
133	891	201
134	480	806
135	778	992
136	990	281
137	276	410
138	56	738
139	569	22
140	753	678
141	266	459
142	196	968
143	589	429
144	727	934
145	943	767
146	279	189
147	453	834
148	338	625
149	669	567
150	520	112
151	775	360
152	811	901
153	970	514
154	806	49
155	712	618
156	571	80
157	263	52
158	143	682
159	605	464
160	34	983
161	480	48
162	863	77
163	459	204
164	613	120
165	542	875
166	36	288
167	623	161
168	480	548
169	552	449
170	877	119
171	79	197
172	832	691
173	941	659
174	196	589
175	93	70
176	245	330
177	773	734
178	585	83
179	693	950
180	280	522
181	44	725
182	231	927
183	581	502
184	781	355
185	212	822
186	228	29
187	467	798
188	649	528
189	585	811
190	286	602
191	625	55
192	291	414
193	285	698
194	538	986
195	590	506
196	44	526
197	438	706
198	512	626
199	755	710
200	853	140
201	692	506
202	253	104
203	358	108
204	501	112
205	34	505
206	102	886
207	522	542
208	688	131
209	690	166
210	272	265
211	118	505
212	314	528
213	494	939
214	257	346
215	929	843
216	931	866
217	24	591
218	960	788
219	72	193
220	806	46
221	749	357
222	898	114
223	478	147
224	363	604
225	697	542
226	830	42
227	340	853
228	985	682
229	34	736
230	407	293
231	610	326
232	550	51
233	298	161
234	32	531
235	43	989
236	947	806
237	257	499
238	360	238
239	316	263
240	684	113
241	892	92
242	732	477
243	922	218
244	847	628
245	968	580
246	584	431
247	674	420
248	895	495
249	878	4
250	954	970
251	508	918
252	493	38
253	910	828
254	17	664
255	914	732
256	179	800
257	393	44
258	565	888
259	991	717
260	541	719
261	475	257
262	258	512
263	537	478
264	302	149
265	168	264
266	904	551
267	398	349
268	654	120
269	875	798
270	349	3
271	991	423
272	106	889
273	821	868
274	256	868
275	354	717
276	964	226
277	224	5
278	360	858
279	845	864
280	504	409
281	746	332
282	184	927
283	938	899
284	753	904
285	573	272
286	620	814
287	374	329
288	696	538
289	690	130
290	995	710
291	949	963
292	574	655
293	480	98
294	809	907
295	948	502
296	581	814
297	209	93
298	899	187
299	806	163
300	256	775
301	114	425
302	553	343
303	675	797
